"fecha","IVF_desest","variacion_anual"
2007-01-01,80.0845172937744,NA
2007-02-01,79.5287039720457,NA
2007-03-01,79.2822885143167,NA
2007-04-01,76.1728166932241,NA
2007-05-01,77.780476893664,NA
2007-06-01,78.4990313449745,NA
2007-07-01,77.1700360430468,NA
2007-08-01,79.5873485618525,NA
2007-09-01,78.6314638862412,NA
2007-10-01,78.6403824012557,NA
2007-11-01,81.277472227975,NA
2007-12-01,69.0263886530415,NA
2008-01-01,77.307380592893,-3.46775730781271
2008-02-01,79.3427048966613,-0.233876658482679
2008-03-01,77.3884017034518,-2.38878928239175
2008-04-01,80.0108856752656,5.03863339792041
2008-05-01,81.4361849463204,4.70003296284005
2008-06-01,80.6373032446898,2.72394686033561
2008-07-01,81.547136369277,5.67202058035656
2008-08-01,77.8644273176442,-2.16481799600259
2008-09-01,80.6179857650692,2.5263702093884
2008-10-01,82.9136589789005,5.43394684405369
2008-11-01,79.461757121516,-2.23397093522557
2008-12-01,82.6627595096365,19.7553010126862
2009-01-01,82.375656021458,6.55600460097718
2009-02-01,78.494548538326,-1.06897837607121
2009-03-01,85.1468673631525,10.0253597295247
2009-04-01,83.3988864679069,4.2344248086341
2009-05-01,80.5934191117041,-1.03487882588289
2009-06-01,79.7123007014608,-1.14711492821397
2009-07-01,78.8461011389753,-3.31223798965835
2009-08-01,78.6726125789265,1.037939003886
2009-09-01,75.9262681856016,-5.81969089768608
2009-10-01,76.6235284290578,-7.58636228012007
2009-11-01,76.3184486179205,-3.95575005821811
2009-12-01,75.9345706235107,-8.13932286562664
2010-01-01,70.3088695985995,-14.6484859795414
2010-02-01,82.9780426677489,5.71185415154503
2010-03-01,77.0794566702269,-9.47470052951916
2010-04-01,81.0062625687302,-2.86889190072991
2010-05-01,81.4091101715003,1.01210628459085
2010-06-01,80.7352211314713,1.28326546970656
2010-07-01,76.9359417291171,-2.42264282223837
2010-08-01,80.8591253817251,2.77925536107628
2010-09-01,83.2106056949927,9.59396225241118
2010-10-01,81.1309090557107,5.88250204482046
2010-11-01,81.524653494924,6.82168593739079
2010-12-01,78.2323000752466,3.0259332908172
2011-01-01,79.5685957411418,13.1700682935269
2011-02-01,76.7813615180476,-7.46785649610142
2011-03-01,79.4975178876398,3.13710205270157
2011-04-01,78.4539254765063,-3.15078984178334
2011-05-01,76.3831883836221,-6.17366014355194
2011-06-01,70.9801146138554,-12.0828386680584
2011-07-01,82.9592872413036,7.82903981781886
2011-08-01,93.4873498071117,15.6175624776677
2011-09-01,79.3849532345861,-4.59755391569852
2011-10-01,79.1547859236711,-2.43572166889273
2011-11-01,76.4677484251747,-6.20291513421047
2011-12-01,76.3437515669177,-2.41402656768678
2012-01-01,74.4926382291001,-6.37934786301266
2012-02-01,85.7709085848379,11.7079808029678
2012-03-01,87.816162650943,10.4640308079311
2012-04-01,81.6191107014963,4.03445105616524
2012-05-01,86.0440611694949,12.6479045851721
2012-06-01,86.076134319031,21.2679562259101
2012-07-01,86.7311186027216,4.54660531309397
2012-08-01,85.9746928780334,-8.03601443893621
2012-09-01,75.0542987887641,-5.45525854632014
2012-10-01,81.2047197065342,2.58977869618631
2012-11-01,88.0763307685357,15.1810175955687
2012-12-01,88.2570238392696,15.6047771138278
2013-01-01,87.1895102415797,17.0444654858789
2013-02-01,83.0446615858962,-3.17852176678892
2013-03-01,83.2327520251549,-5.21932465212187
2013-04-01,86.7392092788608,6.27316143652938
2013-05-01,86.2867228134953,0.282020212321688
2013-06-01,85.781451067454,-0.34235186548317
2013-07-01,84.3299253070948,-2.76854874503077
2013-08-01,83.7574069246539,-2.57899839959301
2013-09-01,85.3849322957656,13.7642129414552
2013-10-01,87.4176223301018,7.65091320556295
2013-11-01,88.5290819466006,0.514044095745469
2013-12-01,86.1314589579863,-2.40838041984546
2014-01-01,87.64637440148,0.523989822439019
2014-02-01,90.4328625201141,8.89665969265949
2014-03-01,87.0666913364292,4.60628684981557
2014-04-01,89.6032511910403,3.30189995503856
2014-05-01,83.7662253104188,-2.92107223555638
2014-06-01,86.237249783487,0.531348806019372
2014-07-01,89.543707835606,6.18260067173635
2014-08-01,90.6514467453904,8.23096138463097
2014-09-01,87.5050310625367,2.48298933988409
2014-10-01,92.5186846535331,5.83527918909637
2014-11-01,89.2748296194991,0.842375924951222
2014-12-01,95.2239172685408,10.5564893716588
2015-01-01,91.1466958141144,3.99368648907317
2015-02-01,91.1338441603571,0.77514038670079
2015-03-01,91.7955872943071,5.43134910181122
2015-04-01,90.4734958374333,0.971219944394197
2015-05-01,95.219295788092,13.6726591597397
2015-06-01,85.793455086266,-0.514620652137243
2015-07-01,91.5543380315884,2.2454176229487
2015-08-01,93.1074800393098,2.70931505463734
2015-09-01,92.1310823025256,5.28661173399598
2015-10-01,89.7720541125263,-2.96873064213187
2015-11-01,86.9220226444429,-2.63546509703145
2015-12-01,88.6887995034114,-6.86289532355587
2016-01-01,86.5032904059276,-5.09443086961332
2016-02-01,90.3833737861871,-0.82348152992372
2016-03-01,89.1890593291667,-2.83949157249093
2016-04-01,94.867944356483,4.85716670763539
2016-05-01,94.1897551381299,-1.08123111123749
2016-06-01,99.5593651410885,16.0454081735964
2016-07-01,94.5962689114985,3.32254150410716
2016-08-01,96.8884992077874,4.06091880789949
2016-09-01,96.2258345000854,4.4444850697771
2016-10-01,95.8639796708575,6.7859932788161
2016-11-01,96.4335324668371,10.9425776495116
2016-12-01,95.0897637775037,7.21733106089242
2017-01-01,98.2552397249129,13.585551790964
2017-02-01,95.3984865844294,5.54871165808235
2017-03-01,93.3445745488365,4.65922081803016
2017-04-01,98.5389441293744,3.86958924618097
2017-05-01,98.0287230670931,4.07578077184012
2017-06-01,100.831403511837,1.27766822231725
2017-07-01,97.1558177379474,2.70576086763374
2017-08-01,96.869703862523,-0.0193989435465447
2017-09-01,98.379932092618,2.23858551471507
2017-10-01,99.8099089418619,4.11617511035165
2017-11-01,99.459508574598,3.13788785949694
2017-12-01,99.6336301998742,4.77850216665012
2018-01-01,100.503635381964,2.28832137944601
2018-02-01,98.5812665727773,3.33630029395808
2018-03-01,100.5677281846,7.73816118470223
2018-04-01,100.405495205143,1.89422678744959
2018-05-01,99.653814277169,1.65777045668916
2018-06-01,99.8279884409028,-0.995141430136293
2018-07-01,98.8017026515116,1.69406727449255
2018-08-01,98.9942694905494,2.19321990603127
2018-09-01,98.8589897029514,0.486946473882899
2018-10-01,98.3847455985495,-1.42787761097202
2018-11-01,103.096612513453,3.65686900225033
2018-12-01,101.626332212125,2.00002951639247
2019-01-01,102.331412036377,1.81861745345482
2019-02-01,102.497034268878,3.97212151175792
2019-03-01,102.080238811375,1.50397215297402
2019-04-01,102.018071328014,1.60606361193307
2019-05-01,101.160150414969,1.51156897377795
2019-06-01,103.592671663483,3.77117007101557
2019-07-01,103.93404661342,5.19459060337344
2019-08-01,102.985593175874,4.0318734668835
2019-09-01,102.956317225999,4.14461804167645
2019-10-01,102.518175550608,4.20129149789603
2019-11-01,100.113521250245,-2.89349105705945
2019-12-01,101.961637605671,0.329939481478192
2020-01-01,104.917410951574,2.52708221623847
2020-02-01,103.650917806748,1.12577261000846
2020-03-01,103.220361003321,1.11688824910836
2020-04-01,102.393978420465,0.36847108316953
2020-05-01,104.611733619407,3.41199888521249
2020-06-01,103.279956001797,-0.301870447652752
2020-07-01,103.71551090588,-0.21026383043935
2020-08-01,103.606282937495,0.602695719352719
2020-09-01,103.716771416874,0.738618291100801
2020-10-01,103.637447168302,1.0917787130746
2020-11-01,103.023560448545,2.90673943135615
2020-12-01,103.225585102557,1.23963044000355
2021-01-01,103.773425438793,-1.09036765433435
2021-02-01,102.881077680974,-0.742723887124019
2021-03-01,103.336875649926,0.112879518607034
2021-04-01,103.650210220209,1.22686101187073
2021-05-01,105.116465881247,0.482481500283982
2021-06-01,104.810086754889,1.48153699161662
2021-07-01,105.083605222721,1.31908362104347
2021-08-01,104.263088079643,0.633943351238897
2021-09-01,105.677492854083,1.89045745487793
2021-10-01,104.427206806398,0.762040806363617
2021-11-01,106.598215913508,3.46974560906226
2021-12-01,105.493037492052,2.19659921253266
2022-01-01,107.111887477432,3.21706836265907
2022-02-01,104.976933744338,2.03716379202703
2022-03-01,106.497692623972,3.05875028073608
2022-04-01,107.212214893898,3.4365629033664
2022-05-01,109.003285142482,3.69763122137883
2022-06-01,103.988807024863,-0.783588445973404
2022-07-01,105.295129596278,0.201291507946144
2022-08-01,105.438677413407,1.12752207460614
2022-09-01,106.545579513232,0.821448953513348
2022-10-01,107.992238952684,3.41389208359788
2022-11-01,110.365542729495,3.53413683681512
2022-12-01,110.387637566695,4.63973755141118
2023-01-01,109.470829071653,2.20231540100346
2023-02-01,108.56872794579,3.42150801451251
2023-03-01,108.242922093988,1.63874862169846
2023-04-01,108.171485324957,0.894739868967687
2023-05-01,108.328113072169,-0.61940524951194
2023-06-01,111.0212119785,6.76265566923526
2023-07-01,111.092946518662,5.50625365542923
2023-08-01,109.095233622085,3.46794582251944
2023-09-01,107.951594554877,1.31963714315373
2023-10-01,109.061979403965,0.990571601862689
2023-11-01,106.331555661784,-3.65511460184478
2023-12-01,106.887069826478,-3.17115921436584
2024-01-01,102.166592926788,-6.67231280406591
2024-02-01,108.883007612415,0.289475314458798
2024-03-01,108.263281587781,0.0188090762879733
2024-04-01,110.136881346486,1.81692616647056
2024-05-01,105.65098407175,-2.47131508571139
2024-06-01,106.571335553484,-4.00813173060816
2024-07-01,107.545011012812,-3.19366405971958
2024-08-01,110.5018524066,1.28934944068009
2024-09-01,110.578750216448,2.43364229347764
2024-10-01,109.315552043091,0.232503243120852
2024-11-01,108.478752876593,2.01934148470351
2024-12-01,108.358780202548,1.37688345134654
2025-01-01,110.245968962012,7.90804097873132
2025-02-01,109.559318028367,0.621134950973645
2025-03-01,111.242419404381,2.75175273916346
2025-04-01,107.391605618197,-2.49260347190373
